# SYNTETYCZNE DANE IMU -- nie sa to pomiary z prawdziwego czujnika.
# Wygenerowane przez generate_synthetic_imu.py z roznicy centralnej
# trajektorii x_true/y_true/z_true + szum bialy (sigma=0.15 m/s^2) +
# dryft/bias (random walk, sigma_step=0.01 m/s^2). Patrz docstring.
segment,step,ax_true,ay_true,az_true,ax_meas,ay_meas,az_meas
straight_climb,0,0.0,0.0,0.0,-0.09482,0.08165,0.14241
straight_climb,1,0.0,0.0,0.0,-0.21004,0.18939,-0.0063
straight_climb,2,0.0,0.0,0.0,-0.16209,0.05172,0.11081
straight_climb,3,0.0,0.0,0.0,-0.38578,-0.17542,0.19364
straight_climb,4,0.0,0.0,0.0,-0.06023,0.19082,0.05286
straight_climb,5,0.0,0.0,0.0,-0.13907,0.09109,-0.01971
straight_climb,6,0.0,0.0,0.0,-0.01408,-0.1154,-0.12939
straight_climb,7,0.0,0.0,0.0,-0.06109,-0.148,-0.11781
straight_climb,8,0.0,0.0,0.0,-0.0494,0.16154,0.28698
straight_climb,9,0.0,0.0,0.0,0.03429,0.06025,0.04999
straight_climb,10,0.0,0.0,0.0,-0.14298,0.02215,0.00018
straight_climb,11,0.0,0.0,0.0,-0.00834,0.24541,0.14636
straight_climb,12,0.0,0.0,0.0,-0.11498,0.06445,0.01915
straight_climb,13,0.0,0.0,0.0,0.05494,-0.1955,-0.02134
straight_climb,14,0.0,0.0,0.0,-0.37171,0.01925,-0.10038
straight_climb,15,0.0,0.0,0.0,-0.12679,0.17911,-0.29023
straight_climb,16,0.0,0.0,0.0,0.11904,-0.03533,0.20099
straight_climb,17,0.0,0.0,0.0,0.19733,0.19147,0.05421
straight_climb,18,0.0,0.0,0.0,-0.07988,0.24285,-0.0197
straight_climb,19,0.0,0.0,0.0,0.13884,0.28519,0.04476
straight_climb,20,0.0,0.0,0.0,-0.14011,0.11918,-0.29074
straight_climb,21,0.0,0.0,0.0,0.12679,-0.06856,0.09613
straight_climb,22,0.0,0.0,0.0,-0.15632,-0.11715,0.0866
straight_climb,23,0.0,0.0,0.0,-0.14758,0.20598,0.06219
straight_climb,24,0.0,0.0,0.0,0.03584,0.13719,-0.1688
straight_climb,25,0.0,0.0,0.0,0.11309,-0.0694,-0.0491
straight_climb,26,0.0,0.0,0.0,-0.17804,0.22485,0.07332
straight_climb,27,0.0,0.0,0.0,-0.02925,0.03411,-0.21649
straight_climb,28,0.0,0.0,0.0,-0.41865,0.18775,0.26805
straight_climb,29,0.0,0.0,0.0,-0.03848,0.12789,-0.15848
straight_climb,30,0.0,0.0,0.0,-0.02682,0.17811,0.18847
straight_climb,31,0.0,0.0,0.0,0.02142,-0.08804,-0.07682
straight_climb,32,0.0,0.0,0.0,0.00221,0.30413,-0.17822
straight_climb,33,0.0,0.0,0.0,-0.07082,0.19471,0.15478
straight_climb,34,0.0,0.0,0.0,0.17605,0.05553,0.00431
straight_climb,35,0.0,0.0,0.0,-0.19439,0.24918,0.11948
straight_climb,36,0.0,0.0,0.0,-0.19931,-0.03057,-0.12289
straight_climb,37,0.0,0.0,0.0,-0.02295,-0.00297,0.08535
straight_climb,38,0.0,0.0,0.0,-0.18545,0.09268,0.0159
straight_climb,39,0.0,0.0,0.0,-0.05034,0.01221,0.28655
straight_climb,40,0.0,0.0,0.0,-0.45637,0.01445,-0.02806
straight_climb,41,0.0,0.0,0.0,-0.06889,0.01918,0.25832
straight_climb,42,0.0,0.0,0.0,-0.0136,-0.23648,-0.12077
straight_climb,43,0.0,0.0,0.0,-0.36078,0.21873,-0.16938
straight_climb,44,0.0,0.0,0.0,-0.17791,0.00842,-0.32539
straight_climb,45,0.0,0.0,0.0,-0.1268,0.13321,0.08475
straight_climb,46,0.0,0.0,0.0,-0.13267,0.00295,0.02836
straight_climb,47,0.0,0.0,0.0,-0.00695,0.04216,0.07926
